Number	Radical	Strokes	Meaning	Reading	Position	Frequency	Notes
159	車	7	cart, car	くるま, kuruma	left	184	
160	辛	7	spicy, bitter	からい, karai		81	
161	辰	7	morning	しんのたつ, shinnotatsu, 辰のたつ		38	
163	邑	7	town	むら, mura		1	
164	酉	7	sake (rice-based alcoholic beverage)	とり, tori		117	
165	釆	7	divide, distinguish, choose	のごめ, nogome, ノ米		33	
166	里	7	village, mile	さと, sato		101	
199	麦	7	wheat	むぎ, mugi, 麦		4	
167	金	8	metal, gold	かね, kane	left	445	
168	長	8	long, grow; leader	ながい-nagai; ちょう, chō		70	
169	門	8	gate	もん, mon	enclose	132	
171	隶	8	slave, capture	れいづくり, reidzukuri, 隷旁		23	
172	隹	8	old bird	ふるとり, furutori, 古鳥		255	
173	雨	8	rain	あめ, ame	top	123	
174	青	8	green, blue	あお, ao		31	
175	非	8	wrong	あらず, arazu		45	
210	斉	8	even, uniformly 	せい, sei, 斉		5	Variant of 齊
	免	8				25	
	奄	8				16	
	岡	8				7	
30	品	9	mouth, opening	くち, kuchi		27	Variant of 口
176	面	9	face	めん, men		12	
177	革	9	leather, rawhide	かくのかわ, kakunokawa		91	
178	韋	9	tanned leather	なめしがわ, nameshigawa		35	
179	韭	9	leek	にら, nira		15	
180	音	9	sound	おと, oto		52	
181	頁	9	big shell	おおがい, ōgai, 大貝		124	
182	風	9	wind	かぜ, kaze		29	
183	飛	9	fly	とぶ, tobu		2	
184	食	9	eat, food	しょく, shoku	left	47	
185	首	9	neck, head	くび, kubi		12	
186	香	9	fragrant	においこう, nioikō		4	
187	馬	10	horse	うま, uma		131	
188	骨	10	bone	ほね, hone		41	
189	高	10	tall, high 	たかい, takai		34	
190	髟	10	hair	かみがしら, kamigashira, 髪頭		51	
191	鬥	10	fight	とうがまえ, tōgamae, 闘構	enclose	6	
192	鬯	10	herbs, sacrificial wine	ちょう, chō		2	
193	鬲	10	tripod, cauldron	かなえ, kanae		22	
194	鬼	10	ghost, demon	おに, oni		38	
212	竜	10	dragon	りゅう, ryū		20	
195	魚	11	fish	うお, uo	left	205	
196	鳥	11	bird	とり, tori		198	
197	鹵	11	salt	ろ, ro		9	
198	鹿	11	deer	しか, shika		54	
200	麻	11	hemp, flax	あさ, asa		21	
201	黄	11	yellow	きいろ, kīro, 黄色		29	
